"State","Source","Year","Emissions"
"New South Wales","Energy","1990"," 104,565 "
"New South Wales","Energy","1991"," 103,495 "
"New South Wales","Energy","1992"," 104,686 "
"New South Wales","Energy","1993"," 105,937 "
"New South Wales","Energy","1994"," 103,652 "
"New South Wales","Energy","1995"," 104,934 "
"New South Wales","Energy","1996"," 107,344 "
"New South Wales","Energy","1997"," 110,246 "
"New South Wales","Energy","1998"," 110,989 "
"New South Wales","Energy","1999"," 111,352 "
"New South Wales","Energy","2000"," 113,236 "
"New South Wales","Energy","2001"," 116,171 "
"New South Wales","Energy","2002"," 115,978 "
"New South Wales","Energy","2003"," 115,676 "
"New South Wales","Energy","2004"," 118,636 "
"New South Wales","Energy","2005"," 119,206 "
"New South Wales","Energy","2006"," 122,099 "
"New South Wales","Energy","2007"," 126,486 "
"New South Wales","Energy","2008"," 127,079 "
"New South Wales","Energy","2009"," 124,666 "
"New South Wales","Energy","2010"," 119,847 "
"New South Wales","Energy","2011"," 118,037 "
"New South Wales","Energy","2012"," 116,727 "
"New South Wales","Energy","2013"," 113,611 "
"New South Wales","Energy","2014"," 111,468 "
"New South Wales","Energy","2015"," 109,842 "
"New South Wales","Energy","2016"," 111,963 "
"New South Wales","Energy","2017"," 110,721 "
"New South Wales","Energy","2018"," 111,552 "
"New South Wales","Energy","2019"," 108,520 "
"New South Wales","Energy","2020"," 104,134 "
"New South Wales","Energy","2021"," 99,492 "
"New South Wales","Energy","2022"," 93,985 "
"New South Wales","Industrial Processes","1990"," 13,211 "
"New South Wales","Industrial Processes","1991"," 12,886 "
"New South Wales","Industrial Processes","1992"," 12,782 "
"New South Wales","Industrial Processes","1993"," 12,556 "
"New South Wales","Industrial Processes","1994"," 13,350 "
"New South Wales","Industrial Processes","1995"," 13,477 "
"New South Wales","Industrial Processes","1996"," 13,333 "
"New South Wales","Industrial Processes","1997"," 13,273 "
"New South Wales","Industrial Processes","1998"," 13,224 "
"New South Wales","Industrial Processes","1999"," 13,732 "
"New South Wales","Industrial Processes","2000"," 12,934 "
"New South Wales","Industrial Processes","2001"," 11,635 "
"New South Wales","Industrial Processes","2002"," 11,606 "
"New South Wales","Industrial Processes","2003"," 12,551 "
"New South Wales","Industrial Processes","2004"," 13,501 "
"New South Wales","Industrial Processes","2005"," 13,946 "
"New South Wales","Industrial Processes","2006"," 14,096 "
"New South Wales","Industrial Processes","2007"," 14,683 "
"New South Wales","Industrial Processes","2008"," 14,653 "
"New South Wales","Industrial Processes","2009"," 12,298 "
"New South Wales","Industrial Processes","2010"," 14,219 "
"New South Wales","Industrial Processes","2011"," 15,097 "
"New South Wales","Industrial Processes","2012"," 12,093 "
"New South Wales","Industrial Processes","2013"," 11,051 "
"New South Wales","Industrial Processes","2014"," 10,922 "
"New South Wales","Industrial Processes","2015"," 11,735 "
"New South Wales","Industrial Processes","2016"," 12,024 "
"New South Wales","Industrial Processes","2017"," 12,583 "
"New South Wales","Industrial Processes","2018"," 12,867 "
"New South Wales","Industrial Processes","2019"," 13,023 "
"New South Wales","Industrial Processes","2020"," 12,806 "
"New South Wales","Industrial Processes","2021"," 13,024 "
"New South Wales","Industrial Processes","2022"," 13,119 "
"New South Wales","Agriculture","1990"," 28,274 "
"New South Wales","Agriculture","1991"," 27,921 "
"New South Wales","Agriculture","1992"," 26,421 "
"New South Wales","Agriculture","1993"," 25,244 "
"New South Wales","Agriculture","1994"," 25,365 "
"New South Wales","Agriculture","1995"," 23,032 "
"New South Wales","Agriculture","1996"," 23,844 "
"New South Wales","Agriculture","1997"," 24,663 "
"New South Wales","Agriculture","1998"," 23,973 "
"New South Wales","Agriculture","1999"," 24,033 "
"New South Wales","Agriculture","2000"," 24,350 "
"New South Wales","Agriculture","2001"," 24,587 "
"New South Wales","Agriculture","2002"," 23,559 "
"New South Wales","Agriculture","2003"," 21,124 "
"New South Wales","Agriculture","2004"," 21,790 "
"New South Wales","Agriculture","2005"," 21,621 "
"New South Wales","Agriculture","2006"," 21,820 "
"New South Wales","Agriculture","2007"," 19,646 "
"New South Wales","Agriculture","2008"," 18,742 "
"New South Wales","Agriculture","2009"," 18,637 "
"New South Wales","Agriculture","2010"," 18,059 "
"New South Wales","Agriculture","2011"," 19,305 "
"New South Wales","Agriculture","2012"," 20,132 "
"New South Wales","Agriculture","2013"," 20,129 "
"New South Wales","Agriculture","2014"," 19,097 "
"New South Wales","Agriculture","2015"," 19,033 "
"New South Wales","Agriculture","2016"," 19,435 "
"New South Wales","Agriculture","2017"," 20,997 "
"New South Wales","Agriculture","2018"," 18,773 "
"New South Wales","Agriculture","2019"," 15,981 "
"New South Wales","Agriculture","2020"," 15,019 "
"New South Wales","Agriculture","2021"," 18,724 "
"New South Wales","Agriculture","2022"," 20,195 "
"New South Wales","Land Use","1990"," 14,657 "
"New South Wales","Land Use","1991"," 3,683 "
"New South Wales","Land Use","1992"," 4,340 "
"New South Wales","Land Use","1993","-10,742 "
"New South Wales","Land Use","1994","-7,256 "
"New South Wales","Land Use","1995","-15,115 "
"New South Wales","Land Use","1996","-23,773 "
"New South Wales","Land Use","1997","-27,703 "
"New South Wales","Land Use","1998","-22,205 "
"New South Wales","Land Use","1999","-16,453 "
"New South Wales","Land Use","2000","-8,255 "
"New South Wales","Land Use","2001","-7,765 "
"New South Wales","Land Use","2002","-4,428 "
"New South Wales","Land Use","2003","-7,626 "
"New South Wales","Land Use","2004","-10,530 "
"New South Wales","Land Use","2005","-7,570 "
"New South Wales","Land Use","2006"," 888 "
"New South Wales","Land Use","2007","-6,465 "
"New South Wales","Land Use","2008","-9,062 "
"New South Wales","Land Use","2009","-8,505 "
"New South Wales","Land Use","2010","-5,112 "
"New South Wales","Land Use","2011","-7,846 "
"New South Wales","Land Use","2012","-7,198 "
"New South Wales","Land Use","2013","-13,296 "
"New South Wales","Land Use","2014","-8,297 "
"New South Wales","Land Use","2015","-14,072 "
"New South Wales","Land Use","2016","-25,784 "
"New South Wales","Land Use","2017","-8,778 "
"New South Wales","Land Use","2018","-14,140 "
"New South Wales","Land Use","2019","-21,350 "
"New South Wales","Land Use","2020","-19,202 "
"New South Wales","Land Use","2021","-27,486 "
"New South Wales","Land Use","2022","-20,609 "
"New South Wales","Waste","1990"," 8,460 "
"New South Wales","Waste","1991"," 8,458 "
"New South Wales","Waste","1992"," 8,437 "
"New South Wales","Waste","1993"," 8,284 "
"New South Wales","Waste","1994"," 7,963 "
"New South Wales","Waste","1995"," 7,785 "
"New South Wales","Waste","1996"," 7,218 "
"New South Wales","Waste","1997"," 6,999 "
"New South Wales","Waste","1998"," 6,677 "
"New South Wales","Waste","1999"," 6,632 "
"New South Wales","Waste","2000"," 6,465 "
"New South Wales","Waste","2001"," 6,486 "
"New South Wales","Waste","2002"," 6,532 "
"New South Wales","Waste","2003"," 5,675 "
"New South Wales","Waste","2004"," 5,508 "
"New South Wales","Waste","2005"," 5,540 "
"New South Wales","Waste","2006"," 5,448 "
"New South Wales","Waste","2007"," 5,465 "
"New South Wales","Waste","2008"," 5,763 "
"New South Wales","Waste","2009"," 5,301 "
"New South Wales","Waste","2010"," 5,103 "
"New South Wales","Waste","2011"," 4,825 "
"New South Wales","Waste","2012"," 4,424 "
"New South Wales","Waste","2013"," 4,201 "
"New South Wales","Waste","2014"," 4,243 "
"New South Wales","Waste","2015"," 3,351 "
"New South Wales","Waste","2016"," 3,310 "
"New South Wales","Waste","2017"," 3,490 "
"New South Wales","Waste","2018"," 4,204 "
"New South Wales","Waste","2019"," 3,807 "
"New South Wales","Waste","2020"," 3,934 "
"New South Wales","Waste","2021"," 4,084 "
"New South Wales","Waste","2022"," 4,307 "
"Victoria","Energy","1990"," 79,342 "
"Victoria","Energy","1991"," 80,695 "
"Victoria","Energy","1992"," 82,242 "
"Victoria","Energy","1993"," 80,607 "
"Victoria","Energy","1994"," 80,388 "
"Victoria","Energy","1995"," 84,531 "
"Victoria","Energy","1996"," 87,050 "
"Victoria","Energy","1997"," 89,696 "
"Victoria","Energy","1998"," 96,281 "
"Victoria","Energy","1999"," 98,211 "
"Victoria","Energy","2000"," 100,190 "
"Victoria","Energy","2001"," 99,818 "
"Victoria","Energy","2002"," 98,025 "
"Victoria","Energy","2003"," 100,790 "
"Victoria","Energy","2004"," 105,627 "
"Victoria","Energy","2005"," 104,475 "
"Victoria","Energy","2006"," 104,636 "
"Victoria","Energy","2007"," 103,409 "
"Victoria","Energy","2008"," 104,428 "
"Victoria","Energy","2009"," 107,175 "
"Victoria","Energy","2010"," 106,626 "
"Victoria","Energy","2011"," 107,033 "
"Victoria","Energy","2012"," 109,389 "
"Victoria","Energy","2013"," 101,722 "
"Victoria","Energy","2014"," 98,636 "
"Victoria","Energy","2015"," 103,659 "
"Victoria","Energy","2016"," 101,043 "
"Victoria","Energy","2017"," 98,036 "
"Victoria","Energy","2018"," 88,544 "
"Victoria","Energy","2019"," 85,391 "
"Victoria","Energy","2020"," 80,695 "
"Victoria","Energy","2021"," 77,820 "
"Victoria","Energy","2022"," 77,456 "
"Victoria","Industrial Processes","1990"," 2,528 "
"Victoria","Industrial Processes","1991"," 2,501 "
"Victoria","Industrial Processes","1992"," 2,469 "
"Victoria","Industrial Processes","1993"," 2,295 "
"Victoria","Industrial Processes","1994"," 1,905 "
"Victoria","Industrial Processes","1995"," 1,778 "
"Victoria","Industrial Processes","1996"," 1,657 "
"Victoria","Industrial Processes","1997"," 1,637 "
"Victoria","Industrial Processes","1998"," 1,900 "
"Victoria","Industrial Processes","1999"," 1,870 "
"Victoria","Industrial Processes","2000"," 1,988 "
"Victoria","Industrial Processes","2001"," 2,244 "
"Victoria","Industrial Processes","2002"," 2,355 "
"Victoria","Industrial Processes","2003"," 2,503 "
"Victoria","Industrial Processes","2004"," 2,622 "
"Victoria","Industrial Processes","2005"," 2,822 "
"Victoria","Industrial Processes","2006"," 2,667 "
"Victoria","Industrial Processes","2007"," 2,852 "
"Victoria","Industrial Processes","2008"," 2,958 "
"Victoria","Industrial Processes","2009"," 3,202 "
"Victoria","Industrial Processes","2010"," 3,298 "
"Victoria","Industrial Processes","2011"," 3,559 "
"Victoria","Industrial Processes","2012"," 3,584 "
"Victoria","Industrial Processes","2013"," 3,425 "
"Victoria","Industrial Processes","2014"," 3,325 "
"Victoria","Industrial Processes","2015"," 3,168 "
"Victoria","Industrial Processes","2016"," 3,218 "
"Victoria","Industrial Processes","2017"," 3,169 "
"Victoria","Industrial Processes","2018"," 3,284 "
"Victoria","Industrial Processes","2019"," 3,541 "
"Victoria","Industrial Processes","2020"," 3,592 "
"Victoria","Industrial Processes","2021"," 3,763 "
"Victoria","Industrial Processes","2022"," 3,558 "
"Victoria","Agriculture","1990"," 16,881 "
"Victoria","Agriculture","1991"," 16,524 "
"Victoria","Agriculture","1992"," 16,150 "
"Victoria","Agriculture","1993"," 15,711 "
"Victoria","Agriculture","1994"," 16,319 "
"Victoria","Agriculture","1995"," 15,982 "
"Victoria","Agriculture","1996"," 16,488 "
"Victoria","Agriculture","1997"," 16,736 "
"Victoria","Agriculture","1998"," 16,114 "
"Victoria","Agriculture","1999"," 16,355 "
"Victoria","Agriculture","2000"," 17,362 "
"Victoria","Agriculture","2001"," 17,700 "
"Victoria","Agriculture","2002"," 17,815 "
"Victoria","Agriculture","2003"," 17,051 "
"Victoria","Agriculture","2004"," 16,988 "
"Victoria","Agriculture","2005"," 17,947 "
"Victoria","Agriculture","2006"," 16,905 "
"Victoria","Agriculture","2007"," 16,081 "
"Victoria","Agriculture","2008"," 15,206 "
"Victoria","Agriculture","2009"," 14,822 "
"Victoria","Agriculture","2010"," 14,716 "
"Victoria","Agriculture","2011"," 15,385 "
"Victoria","Agriculture","2012"," 16,276 "
"Victoria","Agriculture","2013"," 16,029 "
"Victoria","Agriculture","2014"," 16,226 "
"Victoria","Agriculture","2015"," 15,989 "
"Victoria","Agriculture","2016"," 14,970 "
"Victoria","Agriculture","2017"," 16,061 "
"Victoria","Agriculture","2018"," 16,454 "
"Victoria","Agriculture","2019"," 15,383 "
"Victoria","Agriculture","2020"," 15,886 "
"Victoria","Agriculture","2021"," 16,165 "
"Victoria","Agriculture","2022"," 15,476 "
"Victoria","Land Use","1990"," 3,514 "
"Victoria","Land Use","1991"," 528 "
"Victoria","Land Use","1992","-789 "
"Victoria","Land Use","1993"," 958 "
"Victoria","Land Use","1994"," 1,598 "
"Victoria","Land Use","1995","-1,886 "
"Victoria","Land Use","1996","-5,032 "
"Victoria","Land Use","1997","-5,952 "
"Victoria","Land Use","1998","-6,378 "
"Victoria","Land Use","1999","-8,324 "
"Victoria","Land Use","2000","-6,553 "
"Victoria","Land Use","2001","-4,995 "
"Victoria","Land Use","2002","-5,513 "
"Victoria","Land Use","2003","-2,169 "
"Victoria","Land Use","2004","-1,191 "
"Victoria","Land Use","2005","-6,175 "
"Victoria","Land Use","2006"," 134 "
"Victoria","Land Use","2007"," 631 "
"Victoria","Land Use","2008"," 1,066 "
"Victoria","Land Use","2009"," 3,832 "
"Victoria","Land Use","2010"," 9,650 "
"Victoria","Land Use","2011"," 4,762 "
"Victoria","Land Use","2012","-5,097 "
"Victoria","Land Use","2013","-8,353 "
"Victoria","Land Use","2014","-9,357 "
"Victoria","Land Use","2015","-12,545 "
"Victoria","Land Use","2016","-21,244 "
"Victoria","Land Use","2017","-18,186 "
"Victoria","Land Use","2018","-21,835 "
"Victoria","Land Use","2019","-20,203 "
"Victoria","Land Use","2020","-16,752 "
"Victoria","Land Use","2021","-20,094 "
"Victoria","Land Use","2022","-14,982 "
"Victoria","Waste","1990"," 6,366 "
"Victoria","Waste","1991"," 6,178 "
"Victoria","Waste","1992"," 6,109 "
"Victoria","Waste","1993"," 6,034 "
"Victoria","Waste","1994"," 5,761 "
"Victoria","Waste","1995"," 5,743 "
"Victoria","Waste","1996"," 5,024 "
"Victoria","Waste","1997"," 4,948 "
"Victoria","Waste","1998"," 4,633 "
"Victoria","Waste","1999"," 4,763 "
"Victoria","Waste","2000"," 4,293 "
"Victoria","Waste","2001"," 4,385 "
"Victoria","Waste","2002"," 4,619 "
"Victoria","Waste","2003"," 4,218 "
"Victoria","Waste","2004"," 4,171 "
"Victoria","Waste","2005"," 4,164 "
"Victoria","Waste","2006"," 4,135 "
"Victoria","Waste","2007"," 4,035 "
"Victoria","Waste","2008"," 3,970 "
"Victoria","Waste","2009"," 4,026 "
"Victoria","Waste","2010"," 3,861 "
"Victoria","Waste","2011"," 3,499 "
"Victoria","Waste","2012"," 3,171 "
"Victoria","Waste","2013"," 2,226 "
"Victoria","Waste","2014"," 2,334 "
"Victoria","Waste","2015"," 2,819 "
"Victoria","Waste","2016"," 2,787 "
"Victoria","Waste","2017"," 3,046 "
"Victoria","Waste","2018"," 2,473 "
"Victoria","Waste","2019"," 2,676 "
"Victoria","Waste","2020"," 2,824 "
"Victoria","Waste","2021"," 2,735 "
"Victoria","Waste","2022"," 3,207 "
"Queensland","Energy","1990"," 49,853 "
"Queensland","Energy","1991"," 51,273 "
"Queensland","Energy","1992"," 53,251 "
"Queensland","Energy","1993"," 55,748 "
"Queensland","Energy","1994"," 57,651 "
"Queensland","Energy","1995"," 61,618 "
"Queensland","Energy","1996"," 62,210 "
"Queensland","Energy","1997"," 66,005 "
"Queensland","Energy","1998"," 71,309 "
"Queensland","Energy","1999"," 73,252 "
"Queensland","Energy","2000"," 75,965 "
"Queensland","Energy","2001"," 79,987 "
"Queensland","Energy","2002"," 83,697 "
"Queensland","Energy","2003"," 86,083 "
"Queensland","Energy","2004"," 90,735 "
"Queensland","Energy","2005"," 95,398 "
"Queensland","Energy","2006"," 97,655 "
"Queensland","Energy","2007"," 99,910 "
"Queensland","Energy","2008"," 101,302 "
"Queensland","Energy","2009"," 101,838 "
"Queensland","Energy","2010"," 102,759 "
"Queensland","Energy","2011"," 99,446 "
"Queensland","Energy","2012"," 102,718 "
"Queensland","Energy","2013"," 103,295 "
"Queensland","Energy","2014"," 100,481 "
"Queensland","Energy","2015"," 109,849 "
"Queensland","Energy","2016"," 114,715 "
"Queensland","Energy","2017"," 117,287 "
"Queensland","Energy","2018"," 123,307 "
"Queensland","Energy","2019"," 120,588 "
"Queensland","Energy","2020"," 118,378 "
"Queensland","Energy","2021"," 114,759 "
"Queensland","Energy","2022"," 110,428 "
"Queensland","Industrial Processes","1990"," 3,263 "
"Queensland","Industrial Processes","1991"," 3,232 "
"Queensland","Industrial Processes","1992"," 3,273 "
"Queensland","Industrial Processes","1993"," 3,308 "
"Queensland","Industrial Processes","1994"," 3,146 "
"Queensland","Industrial Processes","1995"," 3,002 "
"Queensland","Industrial Processes","1996"," 2,929 "
"Queensland","Industrial Processes","1997"," 2,959 "
"Queensland","Industrial Processes","1998"," 3,320 "
"Queensland","Industrial Processes","1999"," 3,291 "
"Queensland","Industrial Processes","2000"," 3,315 "
"Queensland","Industrial Processes","2001"," 3,902 "
"Queensland","Industrial Processes","2002"," 4,102 "
"Queensland","Industrial Processes","2003"," 4,586 "
"Queensland","Industrial Processes","2004"," 4,811 "
"Queensland","Industrial Processes","2005"," 5,081 "
"Queensland","Industrial Processes","2006"," 4,698 "
"Queensland","Industrial Processes","2007"," 5,026 "
"Queensland","Industrial Processes","2008"," 5,476 "
"Queensland","Industrial Processes","2009"," 5,460 "
"Queensland","Industrial Processes","2010"," 5,637 "
"Queensland","Industrial Processes","2011"," 5,427 "
"Queensland","Industrial Processes","2012"," 5,530 "
"Queensland","Industrial Processes","2013"," 5,062 "
"Queensland","Industrial Processes","2014"," 5,360 "
"Queensland","Industrial Processes","2015"," 5,385 "
"Queensland","Industrial Processes","2016"," 5,329 "
"Queensland","Industrial Processes","2017"," 5,138 "
"Queensland","Industrial Processes","2018"," 5,408 "
"Queensland","Industrial Processes","2019"," 5,987 "
"Queensland","Industrial Processes","2020"," 5,750 "
"Queensland","Industrial Processes","2021"," 5,820 "
"Queensland","Industrial Processes","2022"," 5,756 "
"Queensland","Agriculture","1990"," 21,512 "
"Queensland","Agriculture","1991"," 22,250 "
"Queensland","Agriculture","1992"," 21,715 "
"Queensland","Agriculture","1993"," 21,142 "
"Queensland","Agriculture","1994"," 20,384 "
"Queensland","Agriculture","1995"," 20,321 "
"Queensland","Agriculture","1996"," 20,526 "
"Queensland","Agriculture","1997"," 20,883 "
"Queensland","Agriculture","1998"," 21,872 "
"Queensland","Agriculture","1999"," 21,652 "
"Queensland","Agriculture","2000"," 23,379 "
"Queensland","Agriculture","2001"," 22,420 "
"Queensland","Agriculture","2002"," 22,577 "
"Queensland","Agriculture","2003"," 20,808 "
"Queensland","Agriculture","2004"," 22,250 "
"Queensland","Agriculture","2005"," 22,455 "
"Queensland","Agriculture","2006"," 21,993 "
"Queensland","Agriculture","2007"," 22,034 "
"Queensland","Agriculture","2008"," 22,070 "
"Queensland","Agriculture","2009"," 23,022 "
"Queensland","Agriculture","2010"," 21,055 "
"Queensland","Agriculture","2011"," 23,493 "
"Queensland","Agriculture","2012"," 22,713 "
"Queensland","Agriculture","2013"," 23,551 "
"Queensland","Agriculture","2014"," 23,836 "
"Queensland","Agriculture","2015"," 21,299 "
"Queensland","Agriculture","2016"," 20,841 "
"Queensland","Agriculture","2017"," 21,182 "
"Queensland","Agriculture","2018"," 22,597 "
"Queensland","Agriculture","2019"," 21,374 "
"Queensland","Agriculture","2020"," 19,818 "
"Queensland","Agriculture","2021"," 20,461 "
"Queensland","Agriculture","2022"," 20,962 "
"Queensland","Land Use","1990"," 106,073 "
"Queensland","Land Use","1991"," 99,877 "
"Queensland","Land Use","1992"," 69,690 "
"Queensland","Land Use","1993"," 66,151 "
"Queensland","Land Use","1994"," 50,042 "
"Queensland","Land Use","1995"," 41,590 "
"Queensland","Land Use","1996"," 43,951 "
"Queensland","Land Use","1997"," 45,586 "
"Queensland","Land Use","1998"," 42,323 "
"Queensland","Land Use","1999"," 57,489 "
"Queensland","Land Use","2000"," 51,080 "
"Queensland","Land Use","2001"," 61,366 "
"Queensland","Land Use","2002"," 66,638 "
"Queensland","Land Use","2003"," 60,814 "
"Queensland","Land Use","2004"," 44,271 "
"Queensland","Land Use","2005"," 66,204 "
"Queensland","Land Use","2006"," 77,495 "
"Queensland","Land Use","2007"," 59,632 "
"Queensland","Land Use","2008"," 54,645 "
"Queensland","Land Use","2009"," 47,314 "
"Queensland","Land Use","2010"," 45,668 "
"Queensland","Land Use","2011"," 47,921 "
"Queensland","Land Use","2012"," 30,120 "
"Queensland","Land Use","2013"," 46,817 "
"Queensland","Land Use","2014"," 41,632 "
"Queensland","Land Use","2015"," 30,102 "
"Queensland","Land Use","2016"," 12,107 "
"Queensland","Land Use","2017"," 21,797 "
"Queensland","Land Use","2018"," 11,279 "
"Queensland","Land Use","2019"," 5,972 "
"Queensland","Land Use","2020"," 3,854 "
"Queensland","Land Use","2021","-810 "
"Queensland","Land Use","2022","-15,926 "
"Queensland","Waste","1990"," 3,962 "
"Queensland","Waste","1991"," 3,970 "
"Queensland","Waste","1992"," 3,970 "
